observed_on,latitude,longitude,place_state_name
2017-09-10,40.3306367482,-75.1877454669,Pennsylvania
2019-08-12,39.4033845,-77.1923680951,Maryland
2019-09-10,40.0967717522,-75.4204533416,Pennsylvania
2019-10-07,40.7880489808,-73.9669109602,New York
2020-08-30,39.1026585279,-77.117858313,Maryland
2020-09-06,39.1123162417,-77.1113582117,Maryland
2020-09-12,39.4234422878,-77.4314010692,Maryland
2020-09-16,40.6203816459,-74.5583808103,New Jersey
2020-09-22,39.1086028072,-77.1659675126,Maryland
2020-09-27,40.4912216191,-74.4337469712,New Jersey
2020-10-23,32.9167972222,-85.1612472222,Georgia
2020-09-04,39.126498112,-84.2456531525,Ohio
2009-09-19,40.0499124703,-76.8296780362,Pennsylvania
2018-08-31,39.3645400289,-76.6399763309,Maryland
2021-09-07,40.4752591501,-74.4224987043,New Jersey
2022-08-11,38.80183737,-77.00526918,Maryland
2022-09-09,40.4751366667,-74.4384383333,New Jersey
2022-09-10,41.5087083333,-79.6806944444,Pennsylvania
2022-09-26,34.10537062,-84.69424666,Georgia
2022-10-12,38.898675,-76.962805,District of Columbia
2022-10-16,36.1445916667,-79.8580333333,North Carolina
2023-09-04,39.5177030297,-84.7305664714,Ohio
