observed_on,latitude,longitude,place_state_name
2014-09-23,40.875732,-79.696369,Pennsylvania
2015-09-27,38.072495,-83.394429,Kentucky
2016-08-14,39.0044210572,-76.6705939081,Maryland
2016-09-09,40.94595495,-73.72033861,New York
2016-09-18,39.0413898602,-76.7262222525,Maryland
2016-09-19,43.485429,-73.213041,Vermont
2016-09-28,41.29007939,-73.60931815,New York
2017-09-10,40.3306367482,-75.1877454669,Pennsylvania
2017-09-13,41.77583323,-73.92395113,New York
2017-09-20,39.0029778926,-77.0642639964,Maryland
2017-10-04,39.2255313663,-76.7467054185,Maryland
2017-10-12,37.6158821763,-77.3433044425,Virginia
2017-10-04,40.6429301994,-78.0373962411,Pennsylvania
2017-11-01,39.0029018139,-77.0642697283,Maryland
2018-08-23,39.9642481283,-80.8443328366,Ohio
2018-09-15,38.8624227746,-77.1172012389,Virginia
2018-09-13,41.2851571389,-81.2436376638,Ohio
2018-09-20,39.4304822898,-76.7763950676,Maryland
2018-09-20,40.56398,-79.5192416667,Pennsylvania
2018-09-21,42.73634665,-73.87798702,New York
2018-09-28,38.791298559,-77.6795286233,Virginia
2018-10-01,38.6455562837,-76.9622141495,Maryland
2018-10-03,36.5592078399,-87.3035077193,Tennessee
2018-10-03,36.5594728148,-87.3033967554,Tennessee
2018-10-05,37.524898178,-77.4791014754,Virginia
2018-10-10,42.73137705,-73.87974357,New York
2018-10-12,32.50072066,-87.9246622,Alabama
2018-10-12,35.9065700849,-79.0658946364,North Carolina
2018-09-20,39.4306866825,-76.7763441057,Maryland
2018-10-28,35.9207193,-79.0555248,North Carolina
2019-08-12,39.4033845,-77.1923680951,Maryland
2019-08-24,40.476856702,-79.6767318808,Pennsylvania
2019-09-13,42.00767019,-73.87524183,New York
2019-09-11,40.5214083333,-74.4417883333,New Jersey
2019-09-19,34.9598916667,-85.3795616667,Georgia
2019-09-20,40.7769233035,-74.5906054416,New Jersey
2019-09-24,39.13280762,-86.53529421,Indiana
2019-09-24,40.9946581522,-77.1888697399,Pennsylvania
2019-09-28,40.4738005086,-74.4230874517,New Jersey
2019-09-29,41.2119341875,-73.7502945029,New York
2019-09-29,38.0618287716,-76.9146985655,Virginia
2019-10-05,40.6632510759,-79.9573693984,Pennsylvania
2019-10-07,40.7880489808,-73.9669109602,New York
2019-10-07,35.8887667721,-78.5855039769,North Carolina
2019-10-23,41.1294806097,-82.2141375673,Ohio
2019-10-27,35.9297210346,-84.0703658803,Tennessee
2019-11-09,43.0421726574,-77.4757619677,New York
2009-08-24,38.3617739875,-78.5464442715,Virginia
2019-10-12,37.0263674306,-89.5640634699,Missouri
2020-08-14,37.9981775013,-76.8164969637,Virginia
2020-08-30,39.1026585279,-77.117858313,Maryland
2020-08-31,39.20649814,-76.91541211,Maryland
2020-09-01,40.7955597947,-74.5734482725,New Jersey
2020-09-02,39.29890515,-77.12851554,Maryland
2020-09-05,39.0430032422,-77.1387267131,Maryland
2020-09-07,40.6305407695,-75.1407042934,New Jersey
2020-09-09,41.0078373828,-74.1507982361,New Jersey
2020-09-10,40.55259667,-79.70265833,Pennsylvania
2020-09-10,35.9235779499,-79.0714124055,North Carolina
2020-09-12,39.4234422878,-77.4314010692,Maryland
2020-09-12,38.011058193,-84.3985635905,Kentucky
2020-09-13,40.4310748197,-78.407583883,Pennsylvania
2020-09-12,42.5894666667,-81.6400083333,
2020-09-12,42.58915833,-81.63993,
2020-09-13,39.0758695,-77.02680283,Maryland
2020-09-14,40.6590618346,-74.5382918999,New Jersey
2020-09-16,38.67992426,-75.47751365,Delaware
2020-09-16,40.6203816459,-74.5583808103,New Jersey
2020-09-19,41.0996640327,-73.8511142881,New York
2020-09-20,41.9986425016,-74.1191258019,New York
2020-09-21,40.1761344795,-74.9279213834,Pennsylvania
2020-09-21,41.414895854,-76.1640389544,Pennsylvania
2020-09-22,39.1086028072,-77.1659675126,Maryland
2020-09-24,42.2195184876,-73.4744083011,New York
2020-09-25,39.5170119452,-84.7293227446,Ohio
2020-09-25,41.774229868,-74.1672557212,New York
2020-09-24,40.6572722915,-79.6974216809,Pennsylvania
2020-09-25,41.72814175,-73.9340658367,New York
2020-09-25,37.89879667,-84.36222833,Kentucky
2020-09-26,39.4277885557,-76.5750160721,Maryland
2020-09-27,39.34244167,-82.07457783,Ohio
2020-09-27,40.4912216191,-74.4337469712,New Jersey
2020-09-29,35.8717,-94.1247945,Arkansas
2020-10-01,40.5472518241,-79.6944311341,Pennsylvania
2020-10-02,40.16258883,-79.27268833,Pennsylvania
2020-10-04,33.6195436782,-83.8745526577,Georgia
2020-10-04,34.8777757557,-86.479395405,Alabama
2020-10-05,40.56228667,-79.52178,Pennsylvania
2020-10-05,40.727825,-79.70272833,Pennsylvania
2020-10-05,33.8559074818,-84.6489407779,Georgia
2020-10-06,33.619598324,-83.87321382,Georgia
2020-10-07,37.2572183833,-76.7024791667,Virginia
2020-10-11,36.0761111111,-79.5190055556,North Carolina
2020-10-13,33.6192091941,-83.8741748321,Georgia
2020-10-14,33.8657131181,-83.4023893393,Georgia
2020-10-14,33.8011188805,-84.308650531,Georgia
2020-10-17,38.8809792186,-76.9528724347,District of Columbia
2020-10-17,34.8748827625,-86.4755838737,Alabama
2020-10-12,33.61890333,-83.87315333,Georgia
2020-10-21,35.7487124624,-78.8163258322,North Carolina
2020-10-21,36.17405,-79.8346472222,North Carolina
2020-10-23,38.9934141903,-77.2534102365,Virginia
2020-09-04,39.126498112,-84.2456531525,Ohio
2020-10-18,36.4615824944,-81.3361589778,North Carolina
2020-11-01,36.1694821576,-86.7327763886,Tennessee
2020-10-20,35.789295,-78.6965633333,North Carolina
2020-11-07,38.5919240614,-77.2489145208,Virginia
2009-09-19,40.0499124703,-76.8296780362,Pennsylvania
2021-08-25,40.0128586467,-75.2835221215,Pennsylvania
2018-08-31,39.3645400289,-76.6399763309,Maryland
2021-09-02,38.6099197786,-77.7527486696,Virginia
2021-09-03,39.3549833333,-86.1525945,Indiana
2021-09-07,40.4752591501,-74.4224987043,New Jersey
2021-09-06,40.7981878377,-80.2905679867,Pennsylvania
2021-09-15,39.4936280916,-76.6901596486,Maryland
2021-09-14,41.2924611111,-79.868125,Pennsylvania
2021-09-16,41.3138961792,-73.3805618286,Connecticut
