observed_on,latitude,longitude,place_state_name
2013-05-08,40.44225414,-79.90178347,Pennsylvania
2013-08-31,39.64509,-77.457176,Maryland
2014-09-17,39.226713,-76.743881,Maryland
2006-07-01,40.048722,-78.157335,Pennsylvania
2016-04-23,35.9221971128,-78.981330637,North Carolina
2016-05-21,39.7156987,-75.7694642,Delaware
2016-05-27,39.421096,-76.98739747,Maryland
2016-06-05,35.8948882856,-79.0533197858,North Carolina
2016-06-17,41.183115,-81.193568,Ohio
2016-08-08,35.9224478156,-79.0784210712,North Carolina
2016-09-18,37.636518851,-77.4767866452,Virginia
2016-09-24,36.13002405,-79.84823075,North Carolina
2016-09-24,36.13070575,-79.84826957,North Carolina
2016-09-30,35.93487748,-79.0388694,North Carolina
2016-10-01,37.6552635525,-77.3453023285,Virginia
2016-05-23,34.1473286283,-82.0113945007,South Carolina
2017-04-17,35.67911561,-78.62919716,North Carolina
2017-05-14,40.6284641801,-74.8040091991,New Jersey
2017-05-17,40.6584386051,-74.4004011154,New Jersey
2017-05-26,40.6074040252,-74.5853233337,New Jersey
2017-05-30,40.5940771576,-74.5697879791,New Jersey
2017-06-03,39.986059852,-75.4845199921,Pennsylvania
2017-06-07,39.234578,-77.293871,Maryland
2017-06-23,40.9544678712,-79.6359944441,Pennsylvania
2017-06-25,40.4940083417,-74.6734285355,New Jersey
2017-07-07,38.0640156647,-78.529936364,Virginia
2017-07-08,35.943957501,-78.978210389,North Carolina
2017-07-06,40.5958124078,-74.5622348784,New Jersey
2017-07-09,40.6735753753,-74.5156288146,New Jersey
2017-08-09,41.20223076,-73.65741291,New York
2017-08-19,41.7764881393,-73.9254321904,New York
2017-08-19,41.7765407358,-73.9252021071,New York
2017-08-20,41.7800952495,-73.9251722676,New York
2017-08-20,41.7808158417,-73.9243774117,New York
2017-08-20,41.78151181,-73.92552619,New York
2017-08-26,38.9727520058,-77.3677602132,Virginia
2017-08-29,35.7838329117,-78.6758768842,North Carolina
2017-08-29,35.7838836893,-78.6760201603,North Carolina
2017-09-15,40.5049707835,-77.9986414673,Pennsylvania
2017-09-17,39.0870192755,-77.1129764775,Maryland
2018-04-14,33.4464174416,-86.8678696175,Alabama
2018-04-20,36.0289217502,-79.0785945225,North Carolina
2018-04-29,38.999595,-77.2578133333,Virginia
2018-04-29,39.0402729731,-77.3095979691,Virginia
2018-05-21,39.2315606,-76.79035146,Maryland
2018-05-30,39.9762596051,-75.2588429489,Pennsylvania
2018-05-30,34.71089728,-85.68520803,Alabama
2018-06-02,38.9282906196,-77.3586410378,Virginia
2018-06-04,36.1309024366,-79.8444560264,North Carolina
2018-06-05,36.9265050162,-82.1208157205,Virginia
2018-06-10,38.9635312837,-84.2988378369,Kentucky
2018-06-15,40.3127113677,-75.4360130802,Pennsylvania
2018-06-18,39.6760611984,-79.7727512456,West Virginia
2018-06-19,36.1374557438,-79.0167880152,North Carolina
2018-06-24,40.6164868456,-80.0276795682,Pennsylvania
2018-06-29,35.793805,-84.9570916667,Tennessee
2018-07-04,39.0034320018,-77.3600856159,Maryland
2018-07-07,38.055944668,-78.5105990945,Virginia
2018-07-07,36.0908388333,-79.0074222167,North Carolina
2018-07-13,36.2126166987,-83.4095822042,Tennessee
2018-07-11,40.5228688,-74.1939353,New York
2018-07-11,40.5228688,-74.1939353,New York
2018-07-05,40.5329166667,-74.1748972222,New York
2018-07-11,40.559606,-74.199381,New York
2018-07-25,34.9534995994,-81.2347144448,South Carolina
2018-07-26,39.6497286111,-79.9869368971,West Virginia
2018-07-28,41.3643779532,-73.7848725901,New York
2018-08-08,37.7439826579,-80.9369117618,West Virginia
2018-08-12,39.5790552954,-79.2015049607,Maryland
2018-08-14,40.58540239,-74.13576744,New York
2018-07-23,40.4367450206,-79.9461746123,Pennsylvania
2018-08-18,38.9974520517,-76.9170863019,Maryland
2018-08-19,39.0093661416,-76.9041206115,Maryland
2018-06-01,40.6364385997,-74.4864748991,New Jersey
2018-08-22,38.8819883333,-77.3295583333,Virginia
2018-09-08,38.9118932874,-76.9477994381,District of Columbia
2018-06-05,40.7191153257,-74.5241500081,New Jersey
2018-09-10,31.88714152,-86.03568818,Alabama
2018-09-13,34.00444499,-81.22086493,South Carolina
2018-09-13,36.1330028333,-94.1422278333,Arkansas
2018-09-16,33.891604,-84.489808,Georgia
2018-09-23,40.2500160383,-79.3524557842,Pennsylvania
2018-10-29,36.3835116667,-94.2020716667,Arkansas
2018-06-11,40.6306936218,-74.5683153688,New Jersey
2018-07-16,40.6191520209,-74.5410480624,New Jersey
2018-06-14,40.6822054167,-74.3809480351,New Jersey
2018-06-19,40.6199557675,-74.558505545,New Jersey
2018-07-04,40.5987778628,-74.4790808923,New Jersey
2018-07-25,40.5838371917,-74.555820927,New Jersey
2019-04-20,34.0753660079,-89.8585973712,Mississippi
2019-04-23,36.133525,-79.158978,North Carolina
2019-04-27,35.72256056,-79.19258387,North Carolina
2019-04-27,36.0589361667,-78.9692383333,North Carolina
2019-04-27,35.9536438896,-78.6439649498,North Carolina
2019-04-28,35.8203904276,-78.610176856,North Carolina
2019-04-29,35.8704274614,-78.7301733625,North Carolina
2019-04-28,38.794238,-77.103042,Virginia
2019-04-29,35.3712166667,-80.704675,North Carolina
2019-05-03,38.882708489,-84.3198609912,Kentucky
2019-05-03,40.0582527649,-75.2502300405,Pennsylvania
2019-05-05,36.0766607942,-78.8475057577,North Carolina
2019-04-29,39.4363063567,-76.5847972309,Maryland
2019-05-07,37.49424,-77.6412103,Virginia
2019-05-06,38.8847753406,-84.3235336897,Kentucky
2019-05-12,40.29282548,-74.7243539617,New Jersey
2019-05-15,40.543881082,-79.9090920669,Pennsylvania
2019-05-15,40.4015284304,-75.1700232168,New Jersey
2019-05-17,39.0322493529,-77.2453110852,Maryland
2019-05-17,35.810498668,-82.4962190893,North Carolina
2019-05-18,39.8310358972,-74.1771287664,New Jersey
2019-05-21,40.6020445522,-75.312910814,Pennsylvania
2019-05-18,33.6878296848,-82.1606983844,South Carolina
2019-05-31,40.3330434859,-80.1147363615,Pennsylvania
2019-05-31,40.336455633,-80.1139711776,Pennsylvania
2019-06-01,35.3351283333,-83.5890416667,North Carolina
2019-06-02,40.20695,-83.0391695,Ohio
2018-08-12,41.002397904,-74.9149465241,New Jersey
2019-06-08,39.1968840906,-76.8482229578,Maryland
2019-06-12,38.0667460893,-78.4802374802,Virginia
2019-06-20,39.6327296469,-77.4662951792,Maryland
2019-06-22,40.4341166234,-79.9063724746,Pennsylvania
2019-06-23,38.7564612273,-77.1007640754,Virginia
2019-06-25,39.6946062427,-79.9367871322,West Virginia
2019-06-26,35.2478069352,-75.5315065283,North Carolina
2019-06-26,34.9913116667,-80.2035616667,North Carolina
2019-06-28,40.9791787947,-73.7808036246,New York
2019-06-25,40.1510041394,-79.269800624,Pennsylvania
2019-06-30,40.0712129474,-75.231278725,Pennsylvania
2019-06-30,36.1684104475,-79.8653559667,North Carolina
2019-06-23,36.0902635753,-80.3538135533,North Carolina
2019-06-30,39.06143398,-78.0521837,Virginia
2019-06-30,35.817131133,-86.9044139936,Tennessee
2019-07-01,34.0230905,-84.3362576,Georgia
2019-07-01,36.7276345147,-82.080845777,Virginia
2019-07-01,41.23489991,-74.89116182,Pennsylvania
2019-07-01,38.79948,-77.2281633333,Virginia
2019-07-01,41.6582176127,-74.0049724413,New York
2019-07-02,40.9713387193,-73.9917566018,New Jersey
2019-07-02,41.3238854427,-74.8917482794,Pennsylvania
2019-07-02,39.0012508957,-76.8221246359,Maryland
2019-07-02,41.0139989198,-81.5785245921,Ohio
2019-07-02,35.1075445,-80.1831883333,North Carolina
2019-07-03,41.489945,-73.9681033333,New York
2017-07-15,38.7161616667,-77.0574416667,Virginia
2019-07-05,39.99818767,-75.2018022,Pennsylvania
